,X,y
0,data_agumented/train/fake/d4c52c98840e8128d50e0cd73068ccd3_0.png,data_agumented/train/fake/d4c52c98840e8128d50e0cd73068ccd3_0.mask.png
1,data_agumented/train/fake/244a7433a307b9a2c839cefe14c0ba1d_0.png,data_agumented/train/fake/244a7433a307b9a2c839cefe14c0ba1d_0.mask.png
2,data_agumented/train/pristine/06c190007f980b9d58a25a6db433327a_3.png,default.mask.png
3,data_agumented/train/pristine/3af268d0635db208721813c80d5a68a7_3.png,default.mask.png
4,data_agumented/train/fake/d531b1cefbdd804a28399c46965aba52_1.png,data_agumented/train/fake/d531b1cefbdd804a28399c46965aba52_1.mask.png
5,data_agumented/train/pristine/0dc54d60e63fbf8d981e13302455a24e_3.png,default.mask.png
6,data_agumented/train/fake/a8801babe463c8f0e32c2b338bb2acb8_7.png,data_agumented/train/fake/a8801babe463c8f0e32c2b338bb2acb8_7.mask.png
7,data_agumented/train/pristine/0c420e5d4ad357c01f6f16d9d4c9a5c5_1.png,default.mask.png
8,data_agumented/train/pristine/0ddf65e32e2fd2f629f53712e577c4e2_3.png,default.mask.png
9,data_agumented/train/pristine/4acb5b39344432a6054fac0aebd120f5_1.png,default.mask.png
10,data_agumented/train/fake/ce05c962f695932a830ad4356d7a3e04_6.png,data_agumented/train/fake/ce05c962f695932a830ad4356d7a3e04_6.mask.png
11,data_agumented/train/pristine/0e73727abe5eef1591b5828648e70287_3.png,default.mask.png
12,data_agumented/train/pristine/5d47b7cdb1de7f7465c49c294c01680d_0.png,default.mask.png
13,data_agumented/train/pristine/2ee1940345456ab6d704428191515ff7_3.png,default.mask.png
14,data_agumented/train/fake/a190948fddf9545c431efaebddee915d_5.png,data_agumented/train/fake/a190948fddf9545c431efaebddee915d_5.mask.png
15,data_agumented/train/pristine/2a63345084dc487dafe9c5a850caf549_3.png,default.mask.png
16,data_agumented/train/pristine/1ef07bc2a8c8feecf5e27c1b72746a89_3.png,default.mask.png
17,data_agumented/train/fake/b21ec9c8f63bb394181430af882a8a99_7.png,data_agumented/train/fake/b21ec9c8f63bb394181430af882a8a99_7.mask.png
18,data_agumented/train/fake/d27e776a3f9b648e478a77229de52b54_0.png,data_agumented/train/fake/d27e776a3f9b648e478a77229de52b54_0.mask.png
